S/N,RegNo,CAT(40%),EXAM(60%),,,,,,,,,,,,
1,U19CS1001,11,52,,,,,,,,,,,,
2,U19CS1002,14,54,,,,,,,,,,,,
3,U19CS1003,Abs,Abs,,,,,,,,,,,,
4,U19CS1004,0,0,,,,,,,,,,,,
5,U19CS1005,26,57,,,,,,,,,,,,
6,U19CS1006,10,30,,,,,,,,,,,,
7,U19CS1007,12,28,,,,,,,,,,,,
8,U19CS1008,16,38,,,,,,,,,,,,
9,U19CS1009,12,35,,,,,,,,,,,,
10,U19CS1010,8,10.5,,,,,,,,,,,,
11,U19CS1011,15,47,,,,,,,,,,,,
12,U19CS1012,13,32,,,,,,,,,,,,
13,U19CS1013,13.5,52.5,,,,,,,,,,,,
14,U19CS1014,0,0,,,,,,,,,,,,
15,U19CS1015,0,5,,,,,,,,,,,,
16,U19CS1016,11,43,,,,,,,,,,,,
17,U19CS1017,14,34,,,,,,,,,,,,
18,U19CS1018,19,58,,,,,,,,,,,,
19,U19CS1019,20,37,,,,,,,,,,,,
20,U19CS1020,15,25,,,,,,,,,,,,
21,U19CS1021,12,42,,,,,,,,,,,,
22,U19CS1022,17,40,,,,,,,,,,,,
23,U19CS1023,17.5,59.5,,,,,,,,,,,,
24,U19CS1024,0,0,,,,,,,,,,,,
25,U19CS1025,14,43,,,,,,,,,,,,
26,U19CS1026,10,50,,,,,,,,,,,,
27,U19CS1027,19,42,,,,,,,,,,,,
28,U19CS1028,16,48,,,,,,,,,,,,
29,U19CS1029,16,45,,,,,,,,,,,,
30,U19CS1030,10,30,,,,,,,,,,,,
31,U19CS1031,19,27,,,,,,,,,,,,
32,U19CS1032,10,32,,,,,,,,,,,,
33,U19CS1033,13,27,,,,,,,,,,,,
34,U19CS1034,14,45,,,,,,,,,,,,
35,U19CS1035,14,47,,,,,,,,,,,,
36,U19CS1036,17,54,,,,,,,,,,,,
37,U19CS1037,8,51,,,,,,,,,,,,
38,U19CS1038,16,38,,,,,,,,,,,,
39,U19CS1039,14.5,48.5,,,,,,,,,,,,
40,U19CS1040,12,42,,,,,,,,,,,,
41,U19CS1041,15.5,30.5,,,,,,,,,,,,
42,U19CS1042,10,51,,,,,,,,,,,,
43,U19CS1043,0,0,,,,,,,,,,,,
44,U19CS1044,12,44,,,,,,,,,,,,
45,U19CS1045,12,28,,,,,,,,,,,,
46,U19CS1046,16,27,,,,,,,,,,,,
47,U19CS1047,19,54,,,,,,,,,,,,
48,U19CS1048,10,43,,,,,,,,,,,,
49,U19CS1049,7,40,,,,,,,,,,,,
50,U19CS1050,18,35,,,,,,,,,,,,
51,U19CS1051,20.5,61.5,,,,,,,,,,,,
52,U19CS1052,12,62,,,,,,,,,,,,
53,U19CS1053,0,0,,,,,,,,,,,,
54,U19CS1054,5,16,,,,,,,,,,,,
55,U19CS1055,10,41,,,,,,,,,,,,
56,U19CS1056,0,0,,,,,,,,,,,,
57,U19CS1057,19,41,,,,,,,,,,,,
58,U19CS1058,6.5,33.5,,,,,,,,,,,,
59,U19CS1059,20,33,,,,,,,,,,,,
60,U19CS1060,24,60,,,,,,,,,,,,
61,U19CS1061,17.5,28.5,,,,,,,,,,,,
62,U19CS1062,10,33,,,,,,,,,,,,
63,U19CS1063,20,57,,,,,,,,,,,,
64,U19CS1064,11,53,,,,,,,,,,,,
65,U19CS1065,17,31,,,,,,,,,,,,
66,U19CS1066,9,18,,,,,,,,,,,,
67,U19CS1067,20,59,,,,,,,,,,,,
68,U19CS1068,11,35,,,,,,,,,,,,
69,U19CS1069,8,62,,,,,,,,,,,,
70,U19CS1070,12,41,,,,,,,,,,,,
