S/N,RegNo,CAT(40%),EXAM(60%),,
1,U19CS1001,23,38,,
2,U19CS1002,14,8,,
3,U19CS1003,ABS,ABS,,
4,U19CS1004,27,13,,
5,U19CS1005,30,59,,
6,U19CS1006,16,30,,
7,U19CS1007,22,24,,
8,U19CS1008,21,30,,
9,U19CS1009,22,28,,
10,U19CS1010,18,23,,
11,U19CS1011,21,29,,
12,U19CS1012,26,14,,
13,U19CS1013,30,56,,
14,U19CS1014,12,2,,
15,U19CS1015,28,12,,
16,U19CS1016,24,31,,
17,U19CS1017,13,ABS,,
18,U19CS1018,28,12,,
19,U19CS1019,28,12,,
20,U19CS1020,28,12,,
21,U19CS1021,16,6,,
22,U19CS1022,24,16,,
23,U19CS1023,18,38,,
24,U19CS1024,19,47,,
25,U19CS1025,21,19,,
26,U19CS1026,29,33,,
27,U19CS1027,27,13,,
28,U19CS1028,23,51,,
29,U19CS1029,24,29,,
30,U19CS1030,24,32,,
31,U19CS1031,14,5,,
32,U19CS1032,22,32,,
33,U19CS1033,18,29,,
34,U19CS1034,19,21,,
35,U19CS1035,27,20,,
36,U19CS1036,24,16,,
37,U19CS1037,22,46,,
38,U19CS1038,26,14,,
39,U19CS1039,17,ABS,,
40,U19CS1040,30,51,,
41,U19CS1041,17,4,,
42,U19CS1042,29,24,,
43,U19CS1043,19,21,,
44,U19CS1044,28,12,,
45,U19CS1045,10,1,,
46,U19CS1046,10,3,,
47,U19CS1047,25,26,,
48,U19CS1048,23,17,,
49,U19CS1049,22,18,,
50,U19CS1050,14,2,,
51,U19CS1051,20,33,,
52,U19CS1052,24,16,,
53,U19CS1053,23,17,,
54,U19CS1054,25,33,,
55,U19CS1055,12,6,,
56,U19CS1056,26,30,,
57,U19CS1057,22,18,,
58,U19CS1058,26,14,,
59,U19CS1059,14,9,,
60,U19CS1060,25,42,,
61,U19CS1061,28,44,,
62,U19CS1062,12,12,,
63,U19CS1063,28,12,,
64,U19CS1064,13,0,,
65,U19CS1065,24,31,,
66,U19CS1066,27,13,,
67,U19CS1067,28,48,,
68,U19CS1068,23,39,,
69,U19CS1069,15,10,,
70,U19CS1070,23,39,,
71,U19CS1071,20,20,,
72,U19CS1072,23,33,,
73,U19CS1073,14,5,,
74,U19CS1074,20,25,,
75,U19CS1075,21,19,,
76,U19CS1076,ABS,ABS,,
77,U19CS1077,27,13,,
78,U19CS1078,12,0,,
79,U19CS1079,13,3,,
80,U19CS1080,24,16,,
81,U19CS1081,28,12,,
82,U19CS1082,20,23,,
83,U19CS1083,25,43,,
84,U19CS1084,24,16,,
85,U19CS1085,20,20,,
86,U19CS1086,20,36,,
87,U19CS1087,11,1,,
88,U19CS1088,28,12,,
89,U19CS1089,28,12,,
90,U19CS1090,27,13,,
91,U19CS1091,24,26,,
92,U19CS1092,12,3,,
93,U19CS1093,19,35,,
94,U19CS1094,25,15,,
95,U19CS1095,22,20,,
96,U19CS1096,28,23,,
97,U19CS1097,27,13,,
98,U19CS1098,22,18,,
99,U19CS1099,13,10,,
100,U19CS1100,19,49,,
101,U19CS1101,27,25,,
102,U19CS1102,19,5,,
103,U19CS1103,21,30,,
104,U19CS1104,28,12,,
105,U19CS1105,24,36,,
106,U19CS1106,23,27,,
107,U19CS1107,23,28,,
108,U19CS1108,24,24,,
109,U19CS1109,28,12,,
110,U19CS1110,28,42,,
111,U19CS1111,16,4,,
112,U19CS1112,24,16,,
113,U19CS1113,15,9,,
114,U19CS1114,28,12,,
115,U19CS1115,17,23,,
116,U19CS1116,12,7,,
117,U19CS1117,16,6,,
118,U19CS1118,14,10,,
119,U19CS1119,27,30,,
120,U19CS1120,18,24,,
121,U19CS1121,16,25,,
122,U19CS1122,29,52,,
123,U19CS1123,21,31,,
124,U19CS1124,26,14,,
125,U19CS1125,18,28,,
126,U19CS1126,26,14,,
127,U19CS1127,27,13,,
128,U19CS1128,16,3,,
129,U19CS1129,23,17,,
130,U19CS1130,26,14,,
131,U19CS1131,29,55,,
132,U19CS1132,26,54,,
133,U19CS1133,25,30,,
