S/N,RegNo,CAT(30%),EXAM(70%)
1,U19CS1001,21,29
2,U19CS1002,11,16
3,U19CS1003,ABS,ABS
4,U19CS1004,21,27
5,U19CS1005,22,60
6,U19CS1006,20,22
7,U19CS1007,20,21
8,U19CS1008,20,41
9,U19CS1009,21,23
10,U19CS1010,21,29
11,U19CS1011,20,28
12,U19CS1012,21,32
13,U19CS1013,22,57
14,U19CS1014,21,26
15,U19CS1015,10,15
16,U19CS1016,21,29
17,U19CS1017,20,23
18,U19CS1018,20,27
19,U19CS1019,21,23
20,U19CS1020,12,18
21,U19CS1021,20,20
22,U19CS1022,20,21
23,U19CS1023,21,42
24,U19CS1024,21,30
25,U19CS1025,20,28
26,U19CS1026,21,45
27,U19CS1027,21,25
28,U19CS1028,22,51
29,U19CS1029,21,31
30,U19CS1030,21,36
31,U19CS1031,20,22
32,U19CS1032,21,32
33,U19CS1033,22,36
34,U19CS1034,12,18
35,U19CS1035,20,28
36,U19CS1036,21,23
37,U19CS1037,20,24
38,U19CS1038,21,37
39,U19CS1039,ABS,ABS
40,U19CS1040,22,32
41,U19CS1041,12,15
42,U19CS1042,23,25
43,U19CS1043,21,27
44,U19CS1044,20,23
45,U19CS1045,11,16
46,U19CS1046,12,14
47,U19CS1047,20,24
48,U19CS1048,20,38
49,U19CS1049,21,19
50,U19CS1050,22,18
51,U19CS1051,21,25
52,U19CS1052,23,31
53,U19CS1053,21,26
54,U19CS1054,22,45
55,U19CS1055,13,17
56,U19CS1056,21,25
57,U19CS1057,21,25
58,U19CS1058,21,22
59,U19CS1059,11,13
60,U19CS1060,21,29
61,U19CS1061,21,29
62,U19CS1062,11,16
63,U19CS1063,21,19
64,U19CS1064,12,16
65,U19CS1065,12,17
66,U19CS1066,23,34
67,U19CS1067,21,46
68,U19CS1068,20,22
69,U19CS1069,23,32
70,U19CS1070,19,39
71,U19CS1071,21,21
72,U19CS1072,23,30
73,U19CS1073,21,22
74,U19CS1074,22,25
75,U19CS1075,20,23
76,U19CS1076,ABS,ABS
77,U19CS1077,22,25
78,U19CS1078,11,17
79,U19CS1079,20,23
80,U19CS1080,21,27
81,U19CS1081,11,15
82,U19CS1082,21,30
83,U19CS1083,21,22
84,U19CS1084,21,21
85,U19CS1085,21,27
86,U19CS1086,23,35
87,U19CS1087,12,14
88,U19CS1088,21,19
89,U19CS1089,13,12
90,U19CS1090,21,20
91,U19CS1091,22,34
92,U19CS1092,22,32
93,U19CS1093,14,16
94,U19CS1094,11,15
95,U19CS1095,23,33
96,U19CS1096,11,14
97,U19CS1097,22,26
98,U19CS1098,23,31
99,U19CS1099,24,33
100,U19CS1100,23,40
101,U19CS1101,23,34
102,U19CS1102,21,21
103,U19CS1103,21,21
104,U19CS1104,23,33
105,U19CS1105,21,29
106,U19CS1106,12,17
107,U19CS1107,22,25
108,U19CS1108,21,21
109,U19CS1109,20,24
110,U19CS1110,21,25
111,U19CS1111,12,17
112,U19CS1112,13,16
113,U19CS1113,21,20
114,U19CS1114,12,18
115,U19CS1115,13,15
116,U19CS1116,12,17
117,U19CS1117,13,12
118,U19CS1118,12,15
119,U19CS1119,21,26
120,U19CS1120,20,24
121,U19CS1121,23,35
122,U19CS1122,20,38
123,U19CS1123,21,37
124,U19CS1124,22,36
125,U19CS1125,20,28
126,U19CS1126,23,25
127,U19CS1127,21,29
128,U19CS1128,22,22
129,U19CS1129,12,16
130,U19CS1130,23,31
131,U19CS1131,20,38
132,U19CS1132,21,42
133,U19CS1133,21,22
