S/N,RegNo,CAT(40%),EXAM(60%),,,,,,,,,,,,
1,U19CS1001,28,29,,,,,,,,,,,,
2,U19CS1002,8,18,,,,,,,,,,,,
3,U19CS1003,ABS,ABS,,,,,,,,,,,,
4,U19CS1004,20,25,,,,,,,,,,,,
5,U19CS1005,29,60,,,,,,,,,,,,
6,U19CS1006,23,25,,,,,,,,,,,,
7,U19CS1007,20,21,,,,,,,,,,,,
8,U19CS1008,23,43,,,,,,,,,,,,
9,U19CS1009,16,25,,,,,,,,,,,,
10,U19CS1010,19,36,,,,,,,,,,,,
11,U19CS1011,22,38,,,,,,,,,,,,
12,U19CS1012,20,32,,,,,,,,,,,,
13,U19CS1013,28,56,,,,,,,,,,,,
14,U19CS1014,5,18,,,,,,,,,,,,
15,U19CS1015,19,22,,,,,,,,,,,,
16,U19CS1016,23,30,,,,,,,,,,,,
17,U19CS1017,20,36,,,,,,,,,,,,
18,U19CS1018,19,29,,,,,,,,,,,,
19,U19CS1019,17,29,,,,,,,,,,,,
20,U19CS1020,19,24,,,,,,,,,,,,
21,U19CS1021,19,28,,,,,,,,,,,,
22,U19CS1022,21,27,,,,,,,,,,,,
23,U19CS1023,20,45,,,,,,,,,,,,
24,U19CS1024,16,38,,,,,,,,,,,,
25,U19CS1025,21,31,,,,,,,,,,,,
26,U19CS1026,26,35,,,,,,,,,,,,
27,U19CS1027,18,29,,,,,,,,,,,,
28,U19CS1028,22,45,,,,,,,,,,,,
29,U19CS1029,26,35,,,,,,,,,,,,
30,U19CS1030,24,36,,,,,,,,,,,,
31,U19CS1031,5,15,,,,,,,,,,,,
32,U19CS1032,20,27,,,,,,,,,,,,
33,U19CS1033,24,36,,,,,,,,,,,,
34,U19CS1034,21,24,,,,,,,,,,,,
35,U19CS1035,18,21,,,,,,,,,,,,
36,U19CS1036,17,35,,,,,,,,,,,,
37,U19CS1037,22,34,,,,,,,,,,,,
38,U19CS1038,23,31,,,,,,,,,,,,
39,U19CS1039,13,ABS,,,,,,,,,,,,
40,U19CS1040,25,39,,,,,,,,,,,,
41,U19CS1041,18,32,,,,,,,,,,,,
42,U19CS1042,24,35,,,,,,,,,,,,
43,U19CS1043,17,28,,,,,,,,,,,,
44,U19CS1044,7,18,,,,,,,,,,,,
45,U19CS1045,9,18,,,,,,,,,,,,
46,U19CS1046,21,31,,,,,,,,,,,,
47,U19CS1047,16,24,,,,,,,,,,,,
48,U19CS1048,22,34,,,,,,,,,,,,
49,U19CS1049,22,29,,,,,,,,,,,,
50,U19CS1050,12,15,,,,,,,,,,,,
51,U19CS1051,25,35,,,,,,,,,,,,
52,U19CS1052,15,35,,,,,,,,,,,,
53,U19CS1053,20,34,,,,,,,,,,,,
54,U19CS1054,22,24,,,,,,,,,,,,
55,U19CS1055,19,21,,,,,,,,,,,,
56,U19CS1056,19,42,,,,,,,,,,,,
57,U19CS1057,22,52,,,,,,,,,,,,
58,U19CS1058,21,24,,,,,,,,,,,,
59,U19CS1059,18,22,,,,,,,,,,,,
60,U19CS1060,28,39,,,,,,,,,,,,
61,U19CS1061,16,29,,,,,,,,,,,,
62,U19CS1062,19,31,,,,,,,,,,,,
63,U19CS1063,18,22,,,,,,,,,,,,
64,U19CS1064,22,25,,,,,,,,,,,,
65,U19CS1065,20,25,,,,,,,,,,,,
66,U19CS1066,18,22,,,,,,,,,,,,
67,U19CS1067,25,41,,,,,,,,,,,,
68,U19CS1068,24,49,,,,,,,,,,,,
69,U19CS1069,18,27,,,,,,,,,,,,
70,U19CS1070,24,42,,,,,,,,,,,,
71,U19CS1071,20,36,,,,,,,,,,,,
72,U19CS1072,23,28,,,,,,,,,,,,
73,U19CS1073,11,17,,,,,,,,,,,,
74,U19CS1074,28,29,,,,,,,,,,,,
75,U19CS1075,20,34,,,,,,,,,,,,
