S/N,RegNo,CAT(30%),EXAM(70%),,,,,,,,,,,,
1,U19CS1001,22,44,,,,,,,,,,,,
2,U19CS1002,14,32,,,,,,,,,,,,
3,U19CS1003,ABS,ABS,,,,,,,,,,,,
4,U19CS1004,14,40,,,,,,,,,,,,
5,U19CS1005,22,60,,,,,,,,,,,,
6,U19CS1006,16,44,,,,,,,,,,,,
7,U19CS1007,16,40,,,,,,,,,,,,
8,U19CS1008,16,40,,,,,,,,,,,,
9,U19CS1009,10,34,,,,,,,,,,,,
10,U19CS1010,14,34,,,,,,,,,,,,
11,U19CS1011,14,36,,,,,,,,,,,,
12,U19CS1012,20,36,,,,,,,,,,,,
13,U19CS1013,22,60,,,,,,,,,,,,
14,U19CS1014,14,36,,,,,,,,,,,,
15,U19CS1015,10,24,,,,,,,,,,,,
16,U19CS1016,22,50,,,,,,,,,,,,
17,U19CS1017,8,32,,,,,,,,,,,,
18,U19CS1018,10,30,,,,,,,,,,,,
19,U19CS1019,18,34,,,,,,,,,,,,
20,U19CS1020,18,46,,,,,,,,,,,,
21,U19CS1021,16,28,,,,,,,,,,,,
22,U19CS1022,14,32,,,,,,,,,,,,
23,U19CS1023,16,44,,,,,,,,,,,,
24,U19CS1024,14,36,,,,,,,,,,,,
25,U19CS1025,16,44,,,,,,,,,,,,
26,U19CS1026,22,60,,,,,,,,,,,,
27,U19CS1027,16,32,,,,,,,,,,,,
28,U19CS1028,22,54,,,,,,,,,,,,
29,U19CS1029,22,44,,,,,,,,,,,,
30,U19CS1030,14,40,,,,,,,,,,,,
31,U19CS1031,12,24,,,,,,,,,,,,
32,U19CS1032,16,44,,,,,,,,,,,,
33,U19CS1033,18,40,,,,,,,,,,,,
34,U19CS1034,18,42,,,,,,,,,,,,
35,U19CS1035,10,36,,,,,,,,,,,,
36,U19CS1036,24,32,,,,,,,,,,,,
37,U19CS1037,18,48,,,,,,,,,,,,
38,U19CS1038,12,42,,,,,,,,,,,,
39,U19CS1039,10,ABS,,,,,,,,,,,,
40,U19CS1040,18,36,,,,,,,,,,,,
41,U19CS1041,8,24,,,,,,,,,,,,
42,U19CS1042,20,48,,,,,,,,,,,,
43,U19CS1043,18,34,,,,,,,,,,,,
44,U19CS1044,14,34,,,,,,,,,,,,
45,U19CS1045,14,24,,,,,,,,,,,,
46,U19CS1046,16,16,,,,,,,,,,,,
47,U19CS1047,14,42,,,,,,,,,,,,
48,U19CS1048,12,50,,,,,,,,,,,,
49,U19CS1049,14,36,,,,,,,,,,,,
50,U19CS1050,12,20,,,,,,,,,,,,
51,U19CS1051,20,40,,,,,,,,,,,,
52,U19CS1052,16,40,,,,,,,,,,,,
53,U19CS1053,16,46,,,,,,,,,,,,
54,U19CS1054,20,44,,,,,,,,,,,,
55,U19CS1055,8,26,,,,,,,,,,,,
56,U19CS1056,18,42,,,,,,,,,,,,
57,U19CS1057,18,34,,,,,,,,,,,,
58,U19CS1058,14,36,,,,,,,,,,,,
59,U19CS1059,16,36,,,,,,,,,,,,
60,U19CS1060,18,52,,,,,,,,,,,,
61,U19CS1061,12,44,,,,,,,,,,,,
62,U19CS1062,16,34,,,,,,,,,,,,
63,U19CS1063,4,32,,,,,,,,,,,,
64,U19CS1064,12,24,,,,,,,,,,,,
65,U19CS1065,16,38,,,,,,,,,,,,
66,U19CS1066,14,22,,,,,,,,,,,,
67,U19CS1067,20,54,,,,,,,,,,,,
68,U19CS1068,20,50,,,,,,,,,,,,
69,U19CS1069,20,44,,,,,,,,,,,,
70,U19CS1070,14,38,,,,,,,,,,,,
71,U19CS1071,16,36,,,,,,,,,,,,
72,U19CS1072,20,50,,,,,,,,,,,,
73,U19CS1073,10,18,,,,,,,,,,,,
