S/N,RegNo,CAT(40%),EXAM(60%),,
1,U19CS1001,26,35,,
2,U19CS1002,22,22,,
3,U19CS1003,Abs,Abs,,
4,U19CS1004,24,31,,
5,U19CS1005,26,59,,
6,U19CS1006,24,27,,
7,U19CS1007,22,23,,
8,U19CS1008,23,28,,
9,U19CS1009,24,18,,
10,U19CS1010,22,28,,
11,U19CS1011,20,25,,
12,U19CS1012,21,39,,
13,U19CS1013,24,61,,
14,U19CS1014,22,18,,
15,U19CS1015,17,23,,
16,U19CS1016,22,38,,
17,U19CS1017,17,23,,
18,U19CS1018,12,16,,
19,U19CS1019,19,31,,
20,U19CS1020,22,18,,
21,U19CS1021,22,23,,
22,U19CS1022,17,28,,
23,U19CS1023,23,39,,
24,U19CS1024,18,22,,
25,U19CS1025,22,30,,
26,U19CS1026,22,38,,
27,U19CS1027,19,31,,
28,U19CS1028,18,36,,
29,U19CS1029,22,48,,
30,U19CS1030,20,40,,
31,U19CS1031,10,13,,
32,U19CS1032,26,34,,
33,U19CS1033,16,39,,
34,U19CS1034,22,29,,
35,U19CS1035,20,25,,
36,U19CS1036,21,24,,
37,U19CS1037,20,34,,
38,U19CS1038,22,38,,
39,U19CS1039,20,37,,
40,U19CS1040,20,47,,
41,U19CS1041,20,26,,
42,U19CS1042,21,25,,
43,U19CS1043,20,26,,
44,U19CS1044,21,20,,
45,U19CS1045,21,29,,
46,U19CS1046,14,17,,
47,U19CS1047,26,39,,
48,U19CS1048,23,37,,
49,U19CS1049,22,28,,
50,U19CS1050,15,17,,
51,U19CS1051,20,42,,
52,U19CS1052,17,29,,
53,U19CS1053,20,41,,
54,U19CS1054,20,36,,
55,U19CS1055,18,28,,
56,U19CS1056,23,30,,
57,U19CS1057,12,38,,
58,U19CS1058,22,18,,
59,U19CS1059,23,29,,
60,U19CS1060,23,42,,
61,U19CS1061,22,28,,
62,U19CS1062,20,23,,
63,U19CS1063,22,19,,
64,U19CS1064,14,17,,
65,U19CS1065,24,26,,
66,U19CS1066,16,28,,
67,U19CS1067,24,53,,
68,U19CS1068,19,27,,
69,U19CS1069,24,36,,
70,U19CS1070,23,43,,
71,U19CS1071,23,27,,
72,U19CS1072,20,41,,
73,U19CS1073,18,28,,
74,U19CS1074,20,26,,
75,U19CS1075,22,23,,
76,U19CS1076,Abs,Abs,,
77,U19CS1077,20,26,,
78,U19CS1078,21,29,,
79,U19CS1079,17,33,,
80,U19CS1080,22,23,,
81,U19CS1081,12,13,,
82,U19CS1082,22,30,,
83,U19CS1083,20,26,,
84,U19CS1084,16,15,,
85,U19CS1085,23,31,,
86,U19CS1086,24,36,,
87,U19CS1087,16,14,,
88,U19CS1088,22,23,,
89,U19CS1089,22,24,,
90,U19CS1090,15,25,,
91,U19CS1091,18,27,,
92,U19CS1092,10,16,,
93,U19CS1093,20,31,,
94,U19CS1094,16,27,,
95,U19CS1095,22,42,,
96,U19CS1096,22,28,,
97,U19CS1097,20,21,,
98,U19CS1098,20,34,,
99,U19CS1099,23,25,,
100,U19CS1100,20,43,,
101,U19CS1101,21,39,,
102,U19CS1102,20,32,,
103,U19CS1103,22,28,,
104,U19CS1104,18,29,,
105,U19CS1105,20,27,,
106,U19CS1106,20,26,,
107,U19CS1107,22,33,,
108,U19CS1108,20,32,,
109,U19CS1109,21,25,,
110,U19CS1110,18,34,,
111,U19CS1111,22,23,,
112,U19CS1112,20,27,,
113,U19CS1113,17,23,,
114,U19CS1114,20,31,,
115,U19CS1115,20,25,,
116,U19CS1116,22,23,,
117,U19CS1117,18,23,,
118,U19CS1118,20,24,,
119,U19CS1119,18,34,,
120,U19CS1120,20,27,,
121,U19CS1121,22,38,,
122,U19CS1122,23,32,,
123,U19CS1123,24,47,,
124,U19CS1124,18,26,,
125,U19CS1125,27,43,,
126,U19CS1126,20,20,,
127,U19CS1127,18,23,,
128,U19CS1128,18,24,,
129,U19CS1129,20,23,,
130,U19CS1130,25,30,,
131,U19CS1131,24,52,,
132,U19CS1132,22,39,,
133,U19CS1133,20,21,,
