S/N,RegNo,CAT(30%),EXAM(70%),,
1,U19CS1001,21,41,,
2,U19CS1002,15,18,,
3,U19CS1003,ABS,ABS,,
4,U19CS1004,20,26,,
5,U19CS1005,26,44,,
6,U19CS1006,24,34,,
7,U19CS1007,20,33,,
8,U19CS1008,24,36,,
9,U19CS1009,24,32,,
10,U19CS1010,25,35,,
11,U19CS1011,20,32,,
12,U19CS1012,22,28,,
13,U19CS1013,23,44,,
14,U19CS1014,21,19,,
15,U19CS1015,22,42,,
16,U19CS1016,24,33,,
17,U19CS1017,17,35,,
18,U19CS1018,23,40,,
19,U19CS1019,23,27,,
20,U19CS1020,25,25,,
21,U19CS1021,19,28,,
22,U19CS1022,18,16,,
23,U19CS1023,20,33,,
24,U19CS1024,22,39,,
25,U19CS1025,21,41,,
26,U19CS1026,24,38,,
27,U19CS1027,23,37,,
28,U19CS1028,18,35,,
29,U19CS1029,24,42,,
30,U19CS1030,20,34,,
31,U19CS1031,15,32,,
32,U19CS1032,22,30,,
33,U19CS1033,22,32,,
34,U19CS1034,24,32,,
35,U19CS1035,22,40,,
36,U19CS1036,17,30,,
37,U19CS1037,22,43,,
38,U19CS1038,20,30,,
39,U19CS1039,15,28,,
40,U19CS1040,27,51,,
41,U19CS1041,21,34,,
42,U19CS1042,22,38,,
43,U19CS1043,24,34,,
44,U19CS1044,23,34,,
45,U19CS1045,23,27,,
46,U19CS1046,24,27,,
47,U19CS1047,22,32,,
48,U19CS1048,22,33,,
49,U19CS1049,21,33,,
50,U19CS1050,17,27,,
51,U19CS1051,24,44,,
52,U19CS1052,23,33,,
53,U19CS1053,21,27,,
54,U19CS1054,15,41,,
55,U19CS1055,20,32,,
56,U19CS1056,24,39,,
57,U19CS1057,24,39,,
58,U19CS1058,19,32,,
59,U19CS1059,19,31,,
60,U19CS1060,22,43,,
61,U19CS1061,20,36,,
62,U19CS1062,17,24,,
63,U19CS1063,20,32,,
64,U19CS1064,21,31,,
65,U19CS1065,20,36,,
66,U19CS1066,20,22,,
67,U19CS1067,22,39,,
68,U19CS1068,16,40,,
69,U19CS1069,20,31,,
70,U19CS1070,24,36,,
71,U19CS1071,18,29,,
72,U19CS1072,22,30,,
73,U19CS1073,18,23,,
74,U19CS1074,23,31,,
75,U19CS1075,18,32,,
76,U19CS1076,ABS,ABS,,
77,U19CS1077,19,34,,
78,U19CS1078,17,30,,
79,U19CS1079,15,26,,
80,U19CS1080,22,31,,
81,U19CS1081,19,33,,
82,U19CS1082,23,30,,
83,U19CS1083,20,50,,
84,U19CS1084,18,29,,
85,U19CS1085,23,31,,
86,U19CS1086,21,32,,
87,U19CS1087,20,20,,
88,U19CS1088,21,31,,
89,U19CS1089,20,31,,
90,U19CS1090,24,33,,
91,U19CS1091,23,32,,
92,U19CS1092,17,23,,
93,U19CS1093,20,35,,
94,U19CS1094,20,32,,
95,U19CS1095,23,39,,
96,U19CS1096,21,29,,
97,U19CS1097,19,31,,
98,U19CS1098,21,27,,
99,U19CS1099,18,35,,
100,U19CS1100,25,42,,
101,U19CS1101,20,36,,
102,U19CS1102,23,27,,
103,U19CS1103,20,32,,
104,U19CS1104,23,32,,
105,U19CS1105,23,41,,
106,U19CS1106,21,36,,
107,U19CS1107,19,31,,
108,U19CS1108,23,39,,
109,U19CS1109,23,28,,
110,U19CS1110,20,43,,
111,U19CS1111,21,22,,
112,U19CS1112,23,35,,
113,U19CS1113,22,24,,
114,U19CS1114,18,30,,
115,U19CS1115,23,34,,
116,U19CS1116,21,30,,
117,U19CS1117,20,26,,
118,U19CS1118,20,23,,
119,U19CS1119,22,43,,
120,U19CS1120,17,29,,
121,U19CS1121,24,23,,
122,U19CS1122,22,51,,
123,U19CS1123,22,42,,
124,U19CS1124,20,24,,
125,U19CS1125,21,36,,
126,U19CS1126,23,31,,
127,U19CS1127,22,33,,
128,U19CS1128,21,33,,
129,U19CS1129,21,26,,
130,U19CS1130,18,27,,
131,U19CS1131,24,46,,
132,U19CS1132,24,44,,
133,U19CS1133,22,38,,
