S/N,RegNo,CAT(30%),EXAM(70%),,
1,U19CS1001,10,52,,
2,U19CS1002,24,27,,
3,U19CS1003,ABS,ABS,,
4,U19CS1004,20,34,,
5,U19CS1005,30,52,,
6,U19CS1006,27,46,,
7,U19CS1007,19,43,,
8,U19CS1008,28,53,,
9,U19CS1009,24,43,,
10,U19CS1010,24,36,,
11,U19CS1011,12,48,,
12,U19CS1012,20,52,,
13,U19CS1013,30,52,,
14,U19CS1014,20,30,,
15,U19CS1015,27,37,,
16,U19CS1016,24,47,,
17,U19CS1017,28,43,,
18,U19CS1018,20,43,,
19,U19CS1019,10,45,,
20,U19CS1020,10,45,,
21,U19CS1021,19,42,,
22,U19CS1022,20,31,,
23,U19CS1023,16,34,,
24,U19CS1024,24,56,,
25,U19CS1025,10,57,,
26,U19CS1026,10,53,,
27,U19CS1027,10,31,,
28,U19CS1028,20,50,,
29,U19CS1029,30,46,,
30,U19CS1030,20,43,,
31,U19CS1031,10,43,,
32,U19CS1032,21,49,,
33,U19CS1033,24,49,,
34,U19CS1034,25,42,,
35,U19CS1035,10,53,,
36,U19CS1036,20,37,,
37,U19CS1037,20,48,,
38,U19CS1038,10,40,,
39,U19CS1039,ABS,ABS,,
40,U19CS1040,25,51,,
41,U19CS1041,10,41,,
42,U19CS1042,20,51,,
43,U19CS1043,20,37,,
44,U19CS1044,20,48,,
45,U19CS1045,20,33,,
46,U19CS1046,20,30,,
47,U19CS1047,10,36,,
48,U19CS1048,30,46,,
49,U19CS1049,26,44,,
50,U19CS1050,21,29,,
51,U19CS1051,24,48,,
52,U19CS1052,20,46,,
53,U19CS1053,20,42,,
54,U19CS1054,25,38,,
55,U19CS1055,20,34,,
56,U19CS1056,20,40,,
57,U19CS1057,10,47,,
58,U19CS1058,10,51,,
59,U19CS1059,19,41,,
60,U19CS1060,28,58,,
61,U19CS1061,25,52,,
62,U19CS1062,10,18,,
63,U19CS1063,11,37,,
64,U19CS1064,10,21,,
65,U19CS1065,24,49,,
66,U19CS1066,20,36,,
67,U19CS1067,24,49,,
68,U19CS1068,21,49,,
69,U19CS1069,20,48,,
70,U19CS1070,21,49,,
71,U19CS1071,10,37,,
72,U19CS1072,10,46,,
73,U19CS1073,10,40,,
74,U19CS1074,25,46,,
75,U19CS1075,24,36,,
76,U19CS1076,ABS,ABS,,
77,U19CS1077,24,34,,
78,U19CS1078,10,21,,
79,U19CS1079,18,39,,
80,U19CS1080,20,47,,
81,U19CS1081,10,36,,
82,U19CS1082,20,42,,
83,U19CS1083,30,56,,
84,U19CS1084,20,30,,
85,U19CS1085,20,37,,
86,U19CS1086,10,42,,
87,U19CS1087,10,18,,
88,U19CS1088,25,43,,
89,U19CS1089,19,42,,
90,U19CS1090,26,44,,
91,U19CS1091,24,51,,
92,U19CS1092,20,35,,
93,U19CS1093,10,45,,
94,U19CS1094,24,39,,
95,U19CS1095,25,48,,
96,U19CS1096,24,38,,
97,U19CS1097,30,35,,
98,U19CS1098,ABS,ABS,,
99,U19CS1099,21,39,,
100,U19CS1100,20,56,,
101,U19CS1101,29,54,,
102,U19CS1102,11,39,,
103,U19CS1103,29,41,,
104,U19CS1104,21,39,,
105,U19CS1105,10,43,,
106,U19CS1106,20,41,,
107,U19CS1107,20,44,,
108,U19CS1108,10,50,,
109,U19CS1109,20,47,,
110,U19CS1110,24,52,,
111,U19CS1111,18,26,,
112,U19CS1112,25,47,,
113,U19CS1113,25,31,,
114,U19CS1114,20,41,,
115,U19CS1115,20,48,,
116,U19CS1116,30,26,,
117,U19CS1117,20,33,,
118,U19CS1118,10,36,,
119,U19CS1119,25,50,,
120,U19CS1120,28,42,,
121,U19CS1121,24,42,,
122,U19CS1122,25,55,,
123,U19CS1123,19,45,,
124,U19CS1124,20,30,,
125,U19CS1125,24,43,,
126,U19CS1126,11,39,,
127,U19CS1127,20,50,,
128,U19CS1128,10,43,,
129,U19CS1129,10,42,,
130,U19CS1130,20,37,,
131,U19CS1131,20,53,,
132,U19CS1132,20,56,,
133,U19CS1133,20,41,,
